asset_name;tahun_bulan;open;high;low;close;volume
Bitcoin;2024-12;96461.3359;108268.4453;9651.4875;93429.2031;48687002286605.0
Bitcoin;2025-01;93425.1016;109114.8828;9278.8125;102405.0234;24438459188238.0
Bitcoin;2025-02;102402.7969;102755.7266;78248.9141;84373.0078;12641875890814.0
Bitcoin;2025-03;84373.8672;95043.4375;76624.25;82548.9141;1049435373908.0
Bitcoin;2025-04;82551.9219;95768.3906;8276.9375;94207.3125;1060974068310.0
Bitcoin;2025-05;94212.8594;111970.1719;9691.3875;104638.0938;1496397538233.0
Bitcoin;2025-06;104637.2969;110561.4219;10499.7625;107135.3359;1424277758118.0
Bitcoin;2025-07;107144.3828;123091.6094;105157.3984;115758.2031;30474734860569.0
Bitcoin;2025-08;115738.9531;124457.1172;10755.9625;108236.7109;12344322531404.0
Bitcoin;2025-09;108228.75;117911.7891;11021.1625;114056.0859;1450418370470.0
Bitcoin;2025-10;114057.5938;126198.0703;103598.4297;109556.1641;38260476898108.0
Bitcoin;2025-11;10955.8625;111167.3125;10146.8875;90394.3125;57263977005983.0
Bitcoin;2025-12;90389.1094;94601.5703;8792.4875;87508.8281;1487947448337.0
Bitcoin;2026-01;87508.0469;97860.6016;8923.3875;78621.1172;1257318501232.0
Bitcoin;2026-02;7862.6125;79322.6094;60074.2031;66995.8594;25257645592340.0
Bitcoin;2026-03;67005.8828;75988.3984;6497.1707;68233.3125;1294169596743.0
Bitcoin;2026-04;68232.8906;79468.0;65725.2578;77455.3125;887693925769.0
Cardano;2021-01;1.26;2.75;0.12;2.4;104668145607.0
Cardano;2021-02;2.39;6.76;0.1018;1.3081;242699671996.0
Cardano;2021-03;1.3098;1.4732;0.1088;1.1933;167521776104.0
Cardano;2021-04;1.1936;1.5578;0.1097;1.3524;126250958948.0
Cardano;2021-05;1.3524;2.4618;0.1028;1.7428;225790700991.0
Cardano;2021-06;1.7384;1.8886;0.1003;1.3835;92189659135.0
Cardano;2021-07;1.3838;1.4937;0.06;1.3223;49070969540.0
Cardano;2021-08;0.06;2.9674;1.2632;2.7725;157094718355.0
Cardano;2021-09;2.7699;3.0992;0.09;2.1145;152163558180.0
Cardano;2021-10;2.1162;2.3697;0.2122;0.1965;85909279864.0
Cardano;2021-11;0.1965;2.3759;0.1502;1.5549;79882611746.0
Cardano;2021-12;1.5528;1.7569;0.04;1.3102;55621974811.0
Cardano;2022-01;1.3101;1.6313;0.1012;1.0523;59144644694.0
Cardano;2022-02;1.0522;6.93;0.05;6.67;41803253326.0
Cardano;2022-03;6.67;6.76;0.1169;1.1419;41482902313.0
Cardano;2022-04;0.1142;6.83;0.1151;5.25;29127094993.0
Cardano;2022-05;5.25;6.28;0.03;4.34;38224922384.0
Cardano;2022-06;4.34;4.63;0.32;3.19;34841447479.0
Cardano;2022-07;3.19;3.83;0.0003;0.36;27857760810.0
Cardano;2022-08;3.59;4.12;0.03;3.1;22116550071.0
Cardano;2022-09;3.1;3.64;0.0003;3.02;21828874969.0
Cardano;2022-10;3.02;3.04;0.03;2.82;16115138828.0
Cardano;2022-11;2.82;3.03;0.02;2.21;14410448708.0
Cardano;2022-12;2.21;2.28;0.17;1.71;6042560515.0
Cardano;2023-01;1.71;2.77;0.02;2.71;12124133561.0
Cardano;2023-02;2.71;2.91;0.27;2.45;10145100889.0
Cardano;2023-03;2.45;2.83;0.02;2.77;12065442907.0
Cardano;2023-04;2.77;3.2;0.27;2.76;10938616032.0
Cardano;2023-05;2.76;2.76;0.25;2.6;5991689968.0
Cardano;2023-06;2.6;2.65;0.0002;0.2;9048009355.0
Cardano;2023-07;0.2;2.6;0.0002;2.14;8553875549.0
Cardano;2023-08;2.14;2.16;0.0002;1.77;6405804890.0
Cardano;2023-09;1.77;1.8;0.17;0.18;3458695073.0
